"Store Name","Product Name",UPI,"Product Category","Product Main Image URL","Primary Licensor"
"The Delt Store","DTD Alumnus Cardigan",UPI26061829511,"Apparel > Sweaters",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220463-BLACK-M425-EMB.jpg?v=1735857412,"DELTA TAU DELTA"
"The Delt Store","Lined Alumnus Cardigan",UPI2606180631,"Apparel > Sweaters",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220464-GREYHTHR-M425-EMB.jpg?v=1735857411,"DELTA TAU DELTA"
"The Delt Store","Be Bold Alumnus Crewneck",UPI26061844711,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/files/DTD220465-JHA030-HTHRGREY.jpg?v=1735857410,"DELTA TAU DELTA"
"The Delt Store","Purple and Gold Alumnus Crewneck",UPI2606186615,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220466-PURPLE-JHA030.jpg?v=1735857409,"DELTA TAU DELTA"
"The Delt Store","Artic Alumnus Crewneck",UPI2606185991,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220467-ARCTICWHITE-JHA030.jpg?v=1735857408,"DELTA TAU DELTA"
"The Delt Store","DTD Alumnus Microfleece Jacket",UPI2606188135,"Outerwear > Jackets",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220468-SPORTDRKNAVY-TT90-EMB.jpg?v=1735857407,"DELTA TAU DELTA"
"The Delt Store","Lined Alumnus Microfleece Jacket",UPI26061802792,"Outerwear > Jackets",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220469-SPORTGRAPHITE-TT90-EMB.jpg?v=1735857406,"DELTA TAU DELTA"
"The Delt Store","Delt Dad Tee",UPI2606181351,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220470-DARKGREY-3001.jpg?v=1735857405,"DELTA TAU DELTA"
"The Delt Store","DTD Mom Tee",UPI26061801031,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220471-LILAC-3001.jpg?v=1735857404,"DELTA TAU DELTA"
"The Delt Store","DTD Script Mom Crewneck",UPI2606183319,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220472-PURPLE-JHA030.jpg?v=1735857403,"DELTA TAU DELTA"
"The Delt Store","DTD Dad Crewneck",UPI26061871591,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220473-DARKHEATHER-18000.jpg?v=1735857403,"DELTA TAU DELTA"
"The Delt Store","Crest Patch Hat",UPI26061853032,"Headwear > Billed hats",https://cdn.shopify.com/s/files/1/0353/4536/7177/files/DTD2204107-GREY-VC300A-EMB.jpg?v=1735857402,"DELTA TAU DELTA"
"The Delt Store","Crest Patch Anorak Jacket",UPI2606189863,"Outerwear > Jackets",https://cdn.shopify.com/s/files/1/0353/4536/7177/files/DTD2204129-BLACKWHITE-9908-EMB.jpg?v=1735857400,"DELTA TAU DELTA"
"The Delt Store","Basic Sport Pack",UPI2606187639,"Bundles > Non-apparel bundles",https://cdn.shopify.com/s/files/1/0353/4536/7177/files/DTD2204150-WHITE-Q4500.jpg?v=1735857399,"DELTA TAU DELTA"
"The Delt Store","Seal Sport Pack",UPI2606180231,"Bundles > Non-apparel bundles",https://cdn.shopify.com/s/files/1/0353/4536/7177/files/DTD2204151-PURPLE-Q4500.jpg?v=1735857398,"DELTA TAU DELTA"
"The Delt Store","Black DTD Sport Pack",UPI26061883591,"Bundles > Non-apparel bundles",https://cdn.shopify.com/s/files/1/0353/4536/7177/files/DTD2204153-BLACK-Q4500.jpg?v=1735857397,"DELTA TAU DELTA"
"The Delt Store","Delts Sport Pack",UPI2606188807,"Bundles > Non-apparel bundles",https://cdn.shopify.com/s/files/1/0353/4536/7177/files/DTD2204154-CHARCOAL-Q4500.jpg?v=1735857395,"DELTA TAU DELTA"
"The Delt Store","Old English Water Bottle",UPI2606187863,"Food/drink > Water bottles with custom label",https://cdn.shopify.com/s/files/1/0353/4536/7177/files/IMG_2847.jpg?v=1693270569,"DELTA TAU DELTA"
"The Delt Store","Boxes DTD Hoodie",UPI2606189207,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/files/IMG_2845.jpg?v=1693270947,"DELTA TAU DELTA"
"The Delt Store","Delta Tau Delta Colony Founders Cards",UPI2606185095,"Stationery > Note cards",https://cdn.shopify.com/s/files/1/0353/4536/7177/files/DTD-BidCard.jpg?v=1735857394,"DELTA TAU DELTA"
"The Delt Store","Delta Tau Delta Bid Cards",UPI2606186935,"Stationery > Note cards",https://cdn.shopify.com/s/files/1/0353/4536/7177/files/DTD-BIDCARD-2.jpg?v=1735857393,"DELTA TAU DELTA"
"The Delt Store","IPAY - University of Connecticut - Halloween Order",UPI2606189799,"Bundles > Apparel bundles",https://cdn.shopify.com/s/files/1/0353/4536/7177/files/STRAVAIG_2328302_1.png?v=1697595490,"DELTA TAU DELTA"
"The Delt Store","Polar Fleece Full Zip",UPI2606182103,"Outerwear > Jackets",https://cdn.shopify.com/s/files/1/0353/4536/7177/files/DTD23GL0201_3062-HEATHER-CHARCOAL-EMB.jpg?v=1735857391,"DELTA TAU DELTA"
"The Delt Store","Houndsooth Hooded Sweatshirt",UPI2606187735,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/files/DTD23GL0202_IND4000-HOUNDSOOTH-PUFFINK.jpg?v=1735857390,"DELTA TAU DELTA"
"The Delt Store","Excellence Trucker Hat",UPI26061836391,"Headwear > Billed hats",https://cdn.shopify.com/s/files/1/0353/4536/7177/files/DTD23GL0204_112-RICHARDSON-BLACK-HP.jpg?v=1700743352,"DELTA TAU DELTA"
